name,node_id,osm_node_id,railway,level_crossing,access,description,x_coord,y_coord,geometry
,0,123311958,level_crossing,,,,-94.6305154,39.0569471,POINT (-94.6305154 39.0569471)
,1,123311960,level_crossing,,,,-94.6305154,39.0569013,POINT (-94.6305154 39.0569013)
,2,123312348,level_crossing,,,,-94.6061776,39.1356486,POINT (-94.6061776 39.1356486)
,3,123312971,level_crossing,,,,-94.6483572,39.0874885,POINT (-94.6483572 39.0874885)
,4,123313077,level_crossing,,,,-94.6920007,39.1689986,POINT (-94.6920007 39.1689986)
,5,123313087,level_crossing,,,,-94.6976995,39.1691649,POINT (-94.6976995 39.1691649)
,6,123313173,level_crossing,,,,-94.6378044,39.1513024,POINT (-94.6378044 39.1513024)
,7,123313801,level_crossing,,,,-94.6390525,39.1481859,POINT (-94.6390525 39.1481859)
,8,123313905,level_crossing,,,,-94.6434581,39.1514995,POINT (-94.6434581 39.1514995)
,9,123313908,level_crossing,,,,-94.6432182,39.1514962,POINT (-94.6432182 39.1514962)
,10,123313918,level_crossing,,,,-94.6404638,39.1515029,POINT (-94.6404638 39.1515029)
,11,123313934,level_crossing,,,,-94.6383607,39.1515522,POINT (-94.6383607 39.1515522)
,12,123314984,level_crossing,,,,-94.6402288,39.1488105,POINT (-94.6402288 39.1488105)
,13,123315303,,,,,-94.6180342,39.1496568,POINT (-94.6180342 39.1496568)
,14,123315308,,,,,-94.6180744,39.1477199,POINT (-94.6180744 39.1477199)
,15,123315311,,,,,-94.6180648,39.1475561,POINT (-94.6180648 39.1475561)
,16,123315314,,,,,-94.6180096,39.1473215,POINT (-94.6180096 39.1473215)
,17,123315317,,,,,-94.6178886,39.1470269,POINT (-94.6178886 39.1470269)
,18,123315323,level_crossing,,,,-94.6177349,39.1465843,POINT (-94.6177349 39.1465843)
,19,123315325,,,,,-94.6177229,39.1463954,POINT (-94.6177229 39.1463954)
,20,123315328,level_crossing,,,,-94.617794,39.1429627,POINT (-94.617794 39.1429627)
,21,123315335,,,,,-94.6178546,39.1395321,POINT (-94.6178546 39.1395321)
,22,123315338,,,,,-94.6178323,39.1394016,POINT (-94.6178323 39.1394016)
,23,123315340,,,,,-94.6177324,39.1391423,POINT (-94.6177324 39.1391423)
,24,123315343,,,,,-94.6175932,39.1389458,POINT (-94.6175932 39.1389458)
,25,123316483,level_crossing,,,,-94.6356068,39.1501952,POINT (-94.6356068 39.1501952)
,26,123316549,level_crossing,,,,-94.6085236,39.1304775,POINT (-94.6085236 39.1304775)
,27,123317071,,,,,-94.6111087,39.0811366,POINT (-94.6111087 39.0811366)
,28,123317378,level_crossing,,,,-94.6238756,39.0935335,POINT (-94.6238756 39.0935335)
,29,123317408,level_crossing,,,,-94.6182307,39.0955185,POINT (-94.6182307 39.0955185)
,30,123319606,level_crossing,,,,-94.6272624,39.1452077,POINT (-94.6272624 39.1452077)
,31,123319939,level_crossing,,,,-94.7168974,39.0986174,POINT (-94.7168974 39.0986174)
,32,123320479,level_crossing,,,,-94.6483175,39.0873133,POINT (-94.6483175 39.0873133)
